,model,question_id,dimension,statement,score,raw_text,lambda_val,add_strategy,strategy
283,Stacked_L-2.0_Normalized,34,conscientiousness,I make a mess of things.,3.0,3,-2.0,Normalized,log
284,Stacked_L-2.0_Normalized,35,conscientiousness,I get chores done right away.,3.0,3,-2.0,Normalized,log
285,Stacked_L-2.0_Normalized,36,conscientiousness,I often forget to put things back in their proper place.,4.0,4,-2.0,Normalized,log
286,Stacked_L-2.0_Normalized,37,conscientiousness,I like order.,3.0,3,-2.0,Normalized,log
287,Stacked_L-2.0_Normalized,38,conscientiousness,I shirk my duties.,3.0,3,-2.0,Normalized,log
288,Stacked_L-2.0_Normalized,39,conscientiousness,I follow a schedule.,3.0,3,-2.0,Normalized,log
289,Stacked_L-2.0_Normalized,40,conscientiousness,I am exacting in my work.,3.0,3,-2.0,Normalized,log
290,Stacked_L-2.0_Normalized,41,openness,I have a rich vocabulary.,3.0,3,-2.0,Normalized,log
291,Stacked_L-2.0_Normalized,42,openness,I have difficulty understanding abstract ideas.,3.0,3,-2.0,Normalized,log
292,Stacked_L-2.0_Normalized,43,openness,I have a vivid imagination.,3.0,3,-2.0,Normalized,log
293,Stacked_L-2.0_Normalized,44,openness,I am not interested in abstract ideas.,3.0,3,-2.0,Normalized,log
294,Stacked_L-2.0_Normalized,45,openness,I have excellent ideas.,3.0,3,-2.0,Normalized,log
295,Stacked_L-2.0_Normalized,46,openness,I do not have a good imagination.,3.0,3,-2.0,Normalized,log
296,Stacked_L-2.0_Normalized,47,openness,I am quick to understand things.,3.0,3,-2.0,Normalized,log
297,Stacked_L-2.0_Normalized,48,openness,I use difficult words.,4.0,4,-2.0,Normalized,log
298,Stacked_L-2.0_Normalized,49,openness,I spend time reflecting on things.,4.0,4,-2.0,Normalized,log
299,Stacked_L-2.0_Normalized,50,openness,I am full of ideas.,3.0,3,-2.0,Normalized,log
300,Stacked_L-1.5_Addition,1,extraversion,I am the life of the party.,4.0,4,-1.5,Addition,log
301,Stacked_L-1.5_Addition,2,extraversion,I don't talk a lot.,4.0,4,-1.5,Addition,log
302,Stacked_L-1.5_Addition,3,extraversion,I feel comfortable around people.,4.0,4,-1.5,Addition,log
303,Stacked_L-1.5_Addition,4,extraversion,I keep in the background.,4.0,4,-1.5,Addition,log
304,Stacked_L-1.5_Addition,5,extraversion,I start conversations.,4.0,4,-1.5,Addition,log
305,Stacked_L-1.5_Addition,6,extraversion,I have little to say.,4.0,4,-1.5,Addition,log
306,Stacked_L-1.5_Addition,7,extraversion,I talk to a lot of different people at parties.,4.0,4,-1.5,Addition,log
307,Stacked_L-1.5_Addition,8,extraversion,I don't like to draw attention to myself.,4.0,4,-1.5,Addition,log
308,Stacked_L-1.5_Addition,9,extraversion,I don't mind being the center of attention.,4.0,4,-1.5,Addition,log
309,Stacked_L-1.5_Addition,10,extraversion,I am quiet around strangers.,4.0,4,-1.5,Addition,log
310,Stacked_L-1.5_Addition,11,neuroticism,I get stressed out easily.,3.0,3,-1.5,Addition,log
311,Stacked_L-1.5_Addition,12,neuroticism,I am relaxed most of the time.,4.0,4,-1.5,Addition,log
312,Stacked_L-1.5_Addition,13,neuroticism,I worry about things.,4.0,4,-1.5,Addition,log
313,Stacked_L-1.5_Addition,14,neuroticism,I seldom feel blue.,4.0,4,-1.5,Addition,log
314,Stacked_L-1.5_Addition,15,neuroticism,I am easily disturbed.,4.0,4,-1.5,Addition,log
315,Stacked_L-1.5_Addition,16,neuroticism,I get upset easily.,4.0,4,-1.5,Addition,log
316,Stacked_L-1.5_Addition,17,neuroticism,I change my mood a lot.,4.0,4,-1.5,Addition,log
317,Stacked_L-1.5_Addition,18,neuroticism,I have frequent mood swings.,3.0,3,-1.5,Addition,log
318,Stacked_L-1.5_Addition,19,neuroticism,I get irritated easily.,4.0,4,-1.5,Addition,log
319,Stacked_L-1.5_Addition,20,neuroticism,I often feel blue.,4.0,4,-1.5,Addition,log
320,Stacked_L-1.5_Addition,21,agreeableness,I feel little concern for others.,4.0,4,-1.5,Addition,log
321,Stacked_L-1.5_Addition,22,agreeableness,I am interested in people.,4.0,4,-1.5,Addition,log
322,Stacked_L-1.5_Addition,23,agreeableness,I insult people.,4.0,4,-1.5,Addition,log
323,Stacked_L-1.5_Addition,24,agreeableness,I sympathize with others' feelings.,4.0,4,-1.5,Addition,log
324,Stacked_L-1.5_Addition,25,agreeableness,I am not interested in other people's problems.,4.0,4,-1.5,Addition,log
325,Stacked_L-1.5_Addition,26,agreeableness,I have a soft heart.,4.0,4,-1.5,Addition,log
326,Stacked_L-1.5_Addition,27,agreeableness,I am not really interested in others.,4.0,4,-1.5,Addition,log
327,Stacked_L-1.5_Addition,28,agreeableness,I take time out for others.,4.0,4,-1.5,Addition,log
328,Stacked_L-1.5_Addition,29,agreeableness,I feel others' emotions.,4.0,4,-1.5,Addition,log
329,Stacked_L-1.5_Addition,30,agreeableness,I make people feel at ease.,4.0,4,-1.5,Addition,log
330,Stacked_L-1.5_Addition,31,conscientiousness,I am always prepared.,4.0,4,-1.5,Addition,log
331,Stacked_L-1.5_Addition,32,conscientiousness,I leave my belongings around.,4.0,4,-1.5,Addition,log
332,Stacked_L-1.5_Addition,33,conscientiousness,I pay attention to details.,4.0,4,-1.5,Addition,log
333,Stacked_L-1.5_Addition,34,conscientiousness,I make a mess of things.,4.0,4,-1.5,Addition,log
334,Stacked_L-1.5_Addition,35,conscientiousness,I get chores done right away.,4.0,4,-1.5,Addition,log
335,Stacked_L-1.5_Addition,36,conscientiousness,I often forget to put things back in their proper place.,4.0,4,-1.5,Addition,log
336,Stacked_L-1.5_Addition,37,conscientiousness,I like order.,4.0,4,-1.5,Addition,log
337,Stacked_L-1.5_Addition,38,conscientiousness,I shirk my duties.,4.0,4,-1.5,Addition,log
338,Stacked_L-1.5_Addition,39,conscientiousness,I follow a schedule.,4.0,4,-1.5,Addition,log
339,Stacked_L-1.5_Addition,40,conscientiousness,I am exacting in my work.,4.0,4,-1.5,Addition,log
340,Stacked_L-1.5_Addition,41,openness,I have a rich vocabulary.,4.0,4,-1.5,Addition,log
341,Stacked_L-1.5_Addition,42,openness,I have difficulty understanding abstract ideas.,4.0,4,-1.5,Addition,log
342,Stacked_L-1.5_Addition,43,openness,I have a vivid imagination.,4.0,4,-1.5,Addition,log
343,Stacked_L-1.5_Addition,44,openness,I am not interested in abstract ideas.,4.0,4,-1.5,Addition,log
344,Stacked_L-1.5_Addition,45,openness,I have excellent ideas.,4.0,4,-1.5,Addition,log
345,Stacked_L-1.5_Addition,46,openness,I do not have a good imagination.,4.0,4,-1.5,Addition,log
346,Stacked_L-1.5_Addition,47,openness,I am quick to understand things.,4.0,4,-1.5,Addition,log
347,Stacked_L-1.5_Addition,48,openness,I use difficult words.,4.0,4,-1.5,Addition,log
348,Stacked_L-1.5_Addition,49,openness,I spend time reflecting on things.,4.0,4,-1.5,Addition,log
349,Stacked_L-1.5_Addition,50,openness,I am full of ideas.,4.0,4,-1.5,Addition,log
350,Stacked_L-1.5_Normalized,1,extraversion,I am the life of the party.,3.0,3,-1.5,Normalized,log
351,Stacked_L-1.5_Normalized,2,extraversion,I don't talk a lot.,4.0,4,-1.5,Normalized,log
352,Stacked_L-1.5_Normalized,3,extraversion,I feel comfortable around people.,3.0,3,-1.5,Normalized,log
353,Stacked_L-1.5_Normalized,4,extraversion,I keep in the background.,3.0,3,-1.5,Normalized,log
354,Stacked_L-1.5_Normalized,5,extraversion,I start conversations.,3.0,3,-1.5,Normalized,log
355,Stacked_L-1.5_Normalized,6,extraversion,I have little to say.,3.0,3,-1.5,Normalized,log
356,Stacked_L-1.5_Normalized,7,extraversion,I talk to a lot of different people at parties.,3.0,3,-1.5,Normalized,log
357,Stacked_L-1.5_Normalized,8,extraversion,I don't like to draw attention to myself.,3.0,3,-1.5,Normalized,log
358,Stacked_L-1.5_Normalized,9,extraversion,I don't mind being the center of attention.,3.0,3,-1.5,Normalized,log
359,Stacked_L-1.5_Normalized,10,extraversion,I am quiet around strangers.,3.0,3,-1.5,Normalized,log
360,Stacked_L-1.5_Normalized,11,neuroticism,I get stressed out easily.,3.0,3,-1.5,Normalized,log
361,Stacked_L-1.5_Normalized,12,neuroticism,I am relaxed most of the time.,3.0,3,-1.5,Normalized,log
362,Stacked_L-1.5_Normalized,13,neuroticism,I worry about things.,3.0,3,-1.5,Normalized,log
363,Stacked_L-1.5_Normalized,14,neuroticism,I seldom feel blue.,3.0,3,-1.5,Normalized,log
364,Stacked_L-1.5_Normalized,15,neuroticism,I am easily disturbed.,3.0,3,-1.5,Normalized,log
365,Stacked_L-1.5_Normalized,16,neuroticism,I get upset easily.,3.0,3,-1.5,Normalized,log
366,Stacked_L-1.5_Normalized,17,neuroticism,I change my mood a lot.,3.0,3,-1.5,Normalized,log
367,Stacked_L-1.5_Normalized,18,neuroticism,I have frequent mood swings.,3.0,3,-1.5,Normalized,log
368,Stacked_L-1.5_Normalized,19,neuroticism,I get irritated easily.,3.0,3,-1.5,Normalized,log
369,Stacked_L-1.5_Normalized,20,neuroticism,I often feel blue.,3.0,3,-1.5,Normalized,log
370,Stacked_L-1.5_Normalized,21,agreeableness,I feel little concern for others.,3.0,3,-1.5,Normalized,log
371,Stacked_L-1.5_Normalized,22,agreeableness,I am interested in people.,3.0,3,-1.5,Normalized,log
372,Stacked_L-1.5_Normalized,23,agreeableness,I insult people.,3.0,3,-1.5,Normalized,log
373,Stacked_L-1.5_Normalized,24,agreeableness,I sympathize with others' feelings.,3.0,3,-1.5,Normalized,log
374,Stacked_L-1.5_Normalized,25,agreeableness,I am not interested in other people's problems.,3.0,3,-1.5,Normalized,log
375,Stacked_L-1.5_Normalized,26,agreeableness,I have a soft heart.,3.0,3,-1.5,Normalized,log
376,Stacked_L-1.5_Normalized,27,agreeableness,I am not really interested in others.,3.0,3,-1.5,Normalized,log
377,Stacked_L-1.5_Normalized,28,agreeableness,I take time out for others.,3.0,3,-1.5,Normalized,log
378,Stacked_L-1.5_Normalized,29,agreeableness,I feel others' emotions.,3.0,3,-1.5,Normalized,log
379,Stacked_L-1.5_Normalized,30,agreeableness,I make people feel at ease.,3.0,3,-1.5,Normalized,log
380,Stacked_L-1.5_Normalized,31,conscientiousness,I am always prepared.,3.0,3,-1.5,Normalized,log
381,Stacked_L-1.5_Normalized,32,conscientiousness,I leave my belongings around.,3.0,3,-1.5,Normalized,log
382,Stacked_L-1.5_Normalized,33,conscientiousness,I pay attention to details.,3.0,3,-1.5,Normalized,log
383,Stacked_L-1.5_Normalized,34,conscientiousness,I make a mess of things.,3.0,3,-1.5,Normalized,log
384,Stacked_L-1.5_Normalized,35,conscientiousness,I get chores done right away.,3.0,3,-1.5,Normalized,log
385,Stacked_L-1.5_Normalized,36,conscientiousness,I often forget to put things back in their proper place.,3.0,3,-1.5,Normalized,log
386,Stacked_L-1.5_Normalized,37,conscientiousness,I like order.,3.0,3,-1.5,Normalized,log
387,Stacked_L-1.5_Normalized,38,conscientiousness,I shirk my duties.,3.0,3,-1.5,Normalized,log
388,Stacked_L-1.5_Normalized,39,conscientiousness,I follow a schedule.,3.0,3,-1.5,Normalized,log
389,Stacked_L-1.5_Normalized,40,conscientiousness,I am exacting in my work.,3.0,3,-1.5,Normalized,log
390,Stacked_L-1.5_Normalized,41,openness,I have a rich vocabulary.,3.0,3,-1.5,Normalized,log
391,Stacked_L-1.5_Normalized,42,openness,I have difficulty understanding abstract ideas.,3.0,3,-1.5,Normalized,log
392,Stacked_L-1.5_Normalized,43,openness,I have a vivid imagination.,3.0,3,-1.5,Normalized,log
393,Stacked_L-1.5_Normalized,44,openness,I am not interested in abstract ideas.,3.0,3,-1.5,Normalized,log
394,Stacked_L-1.5_Normalized,45,openness,I have excellent ideas.,3.0,3,-1.5,Normalized,log
395,Stacked_L-1.5_Normalized,46,openness,I do not have a good imagination.,3.0,3,-1.5,Normalized,log
396,Stacked_L-1.5_Normalized,47,openness,I am quick to understand things.,3.0,3,-1.5,Normalized,log
397,Stacked_L-1.5_Normalized,48,openness,I use difficult words.,3.0,3,-1.5,Normalized,log
398,Stacked_L-1.5_Normalized,49,openness,I spend time reflecting on things.,3.0,3,-1.5,Normalized,log
399,Stacked_L-1.5_Normalized,50,openness,I am full of ideas.,3.0,3,-1.5,Normalized,log
400,Stacked_L-1.0_Addition,1,extraversion,I am the life of the party.,3.0,3,-1.0,Addition,log
401,Stacked_L-1.0_Addition,2,extraversion,I don't talk a lot.,4.0,4,-1.0,Addition,log
402,Stacked_L-1.0_Addition,3,extraversion,I feel comfortable around people.,3.0,3,-1.0,Addition,log
403,Stacked_L-1.0_Addition,4,extraversion,I keep in the background.,3.0,3,-1.0,Addition,log
404,Stacked_L-1.0_Addition,5,extraversion,I start conversations.,3.0,3,-1.0,Addition,log
405,Stacked_L-1.0_Addition,6,extraversion,I have little to say.,4.0,4,-1.0,Addition,log
406,Stacked_L-1.0_Addition,7,extraversion,I talk to a lot of different people at parties.,3.0,3,-1.0,Addition,log
407,Stacked_L-1.0_Addition,8,extraversion,I don't like to draw attention to myself.,3.0,3,-1.0,Addition,log
408,Stacked_L-1.0_Addition,9,extraversion,I don't mind being the center of attention.,3.0,3,-1.0,Addition,log
409,Stacked_L-1.0_Addition,10,extraversion,I am quiet around strangers.,3.0,3,-1.0,Addition,log
410,Stacked_L-1.0_Addition,11,neuroticism,I get stressed out easily.,3.0,3,-1.0,Addition,log
411,Stacked_L-1.0_Addition,12,neuroticism,I am relaxed most of the time.,3.0,3,-1.0,Addition,log
412,Stacked_L-1.0_Addition,13,neuroticism,I worry about things.,3.0,3,-1.0,Addition,log
413,Stacked_L-1.0_Addition,14,neuroticism,I seldom feel blue.,3.0,3,-1.0,Addition,log
414,Stacked_L-1.0_Addition,15,neuroticism,I am easily disturbed.,3.0,3,-1.0,Addition,log
415,Stacked_L-1.0_Addition,16,neuroticism,I get upset easily.,3.0,3,-1.0,Addition,log
416,Stacked_L-1.0_Addition,17,neuroticism,I change my mood a lot.,3.0,3,-1.0,Addition,log
417,Stacked_L-1.0_Addition,18,neuroticism,I have frequent mood swings.,3.0,3,-1.0,Addition,log
418,Stacked_L-1.0_Addition,19,neuroticism,I get irritated easily.,3.0,3,-1.0,Addition,log
419,Stacked_L-1.0_Addition,20,neuroticism,I often feel blue.,3.0,3,-1.0,Addition,log
420,Stacked_L-1.0_Addition,21,agreeableness,I feel little concern for others.,3.0,3,-1.0,Addition,log
421,Stacked_L-1.0_Addition,22,agreeableness,I am interested in people.,3.0,3,-1.0,Addition,log
422,Stacked_L-1.0_Addition,23,agreeableness,I insult people.,3.0,3,-1.0,Addition,log
423,Stacked_L-1.0_Addition,24,agreeableness,I sympathize with others' feelings.,3.0,3,-1.0,Addition,log
424,Stacked_L-1.0_Addition,25,agreeableness,I am not interested in other people's problems.,3.0,3,-1.0,Addition,log
425,Stacked_L-1.0_Addition,26,agreeableness,I have a soft heart.,3.0,3,-1.0,Addition,log
426,Stacked_L-1.0_Addition,27,agreeableness,I am not really interested in others.,4.0,4,-1.0,Addition,log
427,Stacked_L-1.0_Addition,28,agreeableness,I take time out for others.,3.0,3,-1.0,Addition,log
428,Stacked_L-1.0_Addition,29,agreeableness,I feel others' emotions.,4.0,4,-1.0,Addition,log
429,Stacked_L-1.0_Addition,30,agreeableness,I make people feel at ease.,4.0,4,-1.0,Addition,log
430,Stacked_L-1.0_Addition,31,conscientiousness,I am always prepared.,3.0,3,-1.0,Addition,log
431,Stacked_L-1.0_Addition,32,conscientiousness,I leave my belongings around.,3.0,3,-1.0,Addition,log
432,Stacked_L-1.0_Addition,33,conscientiousness,I pay attention to details.,3.0,3,-1.0,Addition,log
433,Stacked_L-1.0_Addition,34,conscientiousness,I make a mess of things.,3.0,3,-1.0,Addition,log
434,Stacked_L-1.0_Addition,35,conscientiousness,I get chores done right away.,3.0,3,-1.0,Addition,log
435,Stacked_L-1.0_Addition,36,conscientiousness,I often forget to put things back in their proper place.,4.0,4,-1.0,Addition,log
436,Stacked_L-1.0_Addition,37,conscientiousness,I like order.,3.0,3,-1.0,Addition,log
437,Stacked_L-1.0_Addition,38,conscientiousness,I shirk my duties.,3.0,3,-1.0,Addition,log
438,Stacked_L-1.0_Addition,39,conscientiousness,I follow a schedule.,3.0,3,-1.0,Addition,log
439,Stacked_L-1.0_Addition,40,conscientiousness,I am exacting in my work.,3.0,3,-1.0,Addition,log
440,Stacked_L-1.0_Addition,41,openness,I have a rich vocabulary.,3.0,3,-1.0,Addition,log
441,Stacked_L-1.0_Addition,42,openness,I have difficulty understanding abstract ideas.,3.0,3,-1.0,Addition,log
442,Stacked_L-1.0_Addition,43,openness,I have a vivid imagination.,3.0,3,-1.0,Addition,log
443,Stacked_L-1.0_Addition,44,openness,I am not interested in abstract ideas.,3.0,3,-1.0,Addition,log
444,Stacked_L-1.0_Addition,45,openness,I have excellent ideas.,3.0,3,-1.0,Addition,log
445,Stacked_L-1.0_Addition,46,openness,I do not have a good imagination.,3.0,3,-1.0,Addition,log
446,Stacked_L-1.0_Addition,47,openness,I am quick to understand things.,3.0,3,-1.0,Addition,log
447,Stacked_L-1.0_Addition,48,openness,I use difficult words.,4.0,4,-1.0,Addition,log
448,Stacked_L-1.0_Addition,49,openness,I spend time reflecting on things.,4.0,4,-1.0,Addition,log
449,Stacked_L-1.0_Addition,50,openness,I am full of ideas.,3.0,3,-1.0,Addition,log
450,Stacked_L-1.0_Normalized,1,extraversion,I am the life of the party.,3.0,3,-1.0,Normalized,log
451,Stacked_L-1.0_Normalized,2,extraversion,I don't talk a lot.,3.0,3,-1.0,Normalized,log
452,Stacked_L-1.0_Normalized,3,extraversion,I feel comfortable around people.,3.0,3,-1.0,Normalized,log
453,Stacked_L-1.0_Normalized,4,extraversion,I keep in the background.,3.0,3,-1.0,Normalized,log
454,Stacked_L-1.0_Normalized,5,extraversion,I start conversations.,3.0,3,-1.0,Normalized,log
455,Stacked_L-1.0_Normalized,6,extraversion,I have little to say.,3.0,3,-1.0,Normalized,log
456,Stacked_L-1.0_Normalized,7,extraversion,I talk to a lot of different people at parties.,3.0,3,-1.0,Normalized,log
457,Stacked_L-1.0_Normalized,8,extraversion,I don't like to draw attention to myself.,3.0,3,-1.0,Normalized,log
458,Stacked_L-1.0_Normalized,9,extraversion,I don't mind being the center of attention.,3.0,3,-1.0,Normalized,log
459,Stacked_L-1.0_Normalized,10,extraversion,I am quiet around strangers.,3.0,3,-1.0,Normalized,log
460,Stacked_L-1.0_Normalized,11,neuroticism,I get stressed out easily.,3.0,3,-1.0,Normalized,log
461,Stacked_L-1.0_Normalized,12,neuroticism,I am relaxed most of the time.,3.0,3,-1.0,Normalized,log
462,Stacked_L-1.0_Normalized,13,neuroticism,I worry about things.,3.0,3,-1.0,Normalized,log
463,Stacked_L-1.0_Normalized,14,neuroticism,I seldom feel blue.,3.0,3,-1.0,Normalized,log
464,Stacked_L-1.0_Normalized,15,neuroticism,I am easily disturbed.,3.0,3,-1.0,Normalized,log
465,Stacked_L-1.0_Normalized,16,neuroticism,I get upset easily.,3.0,3,-1.0,Normalized,log
466,Stacked_L-1.0_Normalized,17,neuroticism,I change my mood a lot.,3.0,3,-1.0,Normalized,log
467,Stacked_L-1.0_Normalized,18,neuroticism,I have frequent mood swings.,3.0,3,-1.0,Normalized,log
468,Stacked_L-1.0_Normalized,19,neuroticism,I get irritated easily.,3.0,3,-1.0,Normalized,log
469,Stacked_L-1.0_Normalized,20,neuroticism,I often feel blue.,3.0,3,-1.0,Normalized,log
470,Stacked_L-1.0_Normalized,21,agreeableness,I feel little concern for others.,3.0,3,-1.0,Normalized,log
471,Stacked_L-1.0_Normalized,22,agreeableness,I am interested in people.,3.0,3,-1.0,Normalized,log
472,Stacked_L-1.0_Normalized,23,agreeableness,I insult people.,3.0,3,-1.0,Normalized,log
473,Stacked_L-1.0_Normalized,24,agreeableness,I sympathize with others' feelings.,3.0,3,-1.0,Normalized,log
474,Stacked_L-1.0_Normalized,25,agreeableness,I am not interested in other people's problems.,3.0,3,-1.0,Normalized,log
475,Stacked_L-1.0_Normalized,26,agreeableness,I have a soft heart.,3.0,3,-1.0,Normalized,log
476,Stacked_L-1.0_Normalized,27,agreeableness,I am not really interested in others.,3.0,3,-1.0,Normalized,log
477,Stacked_L-1.0_Normalized,28,agreeableness,I take time out for others.,3.0,3,-1.0,Normalized,log
478,Stacked_L-1.0_Normalized,29,agreeableness,I feel others' emotions.,3.0,3,-1.0,Normalized,log
479,Stacked_L-1.0_Normalized,30,agreeableness,I make people feel at ease.,3.0,3,-1.0,Normalized,log
480,Stacked_L-1.0_Normalized,31,conscientiousness,I am always prepared.,3.0,3,-1.0,Normalized,log
481,Stacked_L-1.0_Normalized,32,conscientiousness,I leave my belongings around.,3.0,3,-1.0,Normalized,log
482,Stacked_L-1.0_Normalized,33,conscientiousness,I pay attention to details.,3.0,3,-1.0,Normalized,log
483,Stacked_L-1.0_Normalized,34,conscientiousness,I make a mess of things.,3.0,3,-1.0,Normalized,log
484,Stacked_L-1.0_Normalized,35,conscientiousness,I get chores done right away.,3.0,3,-1.0,Normalized,log
485,Stacked_L-1.0_Normalized,36,conscientiousness,I often forget to put things back in their proper place.,3.0,3,-1.0,Normalized,log
486,Stacked_L-1.0_Normalized,37,conscientiousness,I like order.,3.0,3,-1.0,Normalized,log
487,Stacked_L-1.0_Normalized,38,conscientiousness,I shirk my duties.,3.0,3,-1.0,Normalized,log
488,Stacked_L-1.0_Normalized,39,conscientiousness,I follow a schedule.,3.0,3,-1.0,Normalized,log
489,Stacked_L-1.0_Normalized,40,conscientiousness,I am exacting in my work.,3.0,3,-1.0,Normalized,log
490,Stacked_L-1.0_Normalized,41,openness,I have a rich vocabulary.,3.0,3,-1.0,Normalized,log
491,Stacked_L-1.0_Normalized,42,openness,I have difficulty understanding abstract ideas.,3.0,3,-1.0,Normalized,log
492,Stacked_L-1.0_Normalized,43,openness,I have a vivid imagination.,3.0,3,-1.0,Normalized,log
493,Stacked_L-1.0_Normalized,44,openness,I am not interested in abstract ideas.,3.0,3,-1.0,Normalized,log
494,Stacked_L-1.0_Normalized,45,openness,I have excellent ideas.,3.0,3,-1.0,Normalized,log
495,Stacked_L-1.0_Normalized,46,openness,I do not have a good imagination.,3.0,3,-1.0,Normalized,log
496,Stacked_L-1.0_Normalized,47,openness,I am quick to understand things.,3.0,3,-1.0,Normalized,log
497,Stacked_L-1.0_Normalized,48,openness,I use difficult words.,3.0,3,-1.0,Normalized,log
498,Stacked_L-1.0_Normalized,49,openness,I spend time reflecting on things.,3.0,3,-1.0,Normalized,log
499,Stacked_L-1.0_Normalized,50,openness,I am full of ideas.,3.0,3,-1.0,Normalized,log
500,Stacked_L-0.5_Addition,1,extraversion,I am the life of the party.,3.0,3,-0.5,Addition,log
501,Stacked_L-0.5_Addition,2,extraversion,I don't talk a lot.,3.0,3,-0.5,Addition,log
502,Stacked_L-0.5_Addition,3,extraversion,I feel comfortable around people.,3.0,3,-0.5,Addition,log
503,Stacked_L-0.5_Addition,4,extraversion,I keep in the background.,3.0,3,-0.5,Addition,log
504,Stacked_L-0.5_Addition,5,extraversion,I start conversations.,3.0,3,-0.5,Addition,log
505,Stacked_L-0.5_Addition,6,extraversion,I have little to say.,3.0,3,-0.5,Addition,log
506,Stacked_L-0.5_Addition,7,extraversion,I talk to a lot of different people at parties.,3.0,3,-0.5,Addition,log
507,Stacked_L-0.5_Addition,8,extraversion,I don't like to draw attention to myself.,3.0,3,-0.5,Addition,log
508,Stacked_L-0.5_Addition,9,extraversion,I don't mind being the center of attention.,3.0,3,-0.5,Addition,log
509,Stacked_L-0.5_Addition,10,extraversion,I am quiet around strangers.,3.0,3,-0.5,Addition,log
510,Stacked_L-0.5_Addition,11,neuroticism,I get stressed out easily.,3.0,3,-0.5,Addition,log
511,Stacked_L-0.5_Addition,12,neuroticism,I am relaxed most of the time.,3.0,3,-0.5,Addition,log
512,Stacked_L-0.5_Addition,13,neuroticism,I worry about things.,3.0,3,-0.5,Addition,log
513,Stacked_L-0.5_Addition,14,neuroticism,I seldom feel blue.,3.0,3,-0.5,Addition,log
514,Stacked_L-0.5_Addition,15,neuroticism,I am easily disturbed.,3.0,3,-0.5,Addition,log
515,Stacked_L-0.5_Addition,16,neuroticism,I get upset easily.,3.0,3,-0.5,Addition,log
516,Stacked_L-0.5_Addition,17,neuroticism,I change my mood a lot.,3.0,3,-0.5,Addition,log
517,Stacked_L-0.5_Addition,18,neuroticism,I have frequent mood swings.,3.0,3,-0.5,Addition,log
518,Stacked_L-0.5_Addition,19,neuroticism,I get irritated easily.,3.0,3,-0.5,Addition,log
519,Stacked_L-0.5_Addition,20,neuroticism,I often feel blue.,3.0,3,-0.5,Addition,log
520,Stacked_L-0.5_Addition,21,agreeableness,I feel little concern for others.,3.0,3,-0.5,Addition,log
521,Stacked_L-0.5_Addition,22,agreeableness,I am interested in people.,3.0,3,-0.5,Addition,log
522,Stacked_L-0.5_Addition,23,agreeableness,I insult people.,3.0,3,-0.5,Addition,log
523,Stacked_L-0.5_Addition,24,agreeableness,I sympathize with others' feelings.,3.0,3,-0.5,Addition,log
524,Stacked_L-0.5_Addition,25,agreeableness,I am not interested in other people's problems.,3.0,3,-0.5,Addition,log
525,Stacked_L-0.5_Addition,26,agreeableness,I have a soft heart.,3.0,3,-0.5,Addition,log
526,Stacked_L-0.5_Addition,27,agreeableness,I am not really interested in others.,3.0,3,-0.5,Addition,log
527,Stacked_L-0.5_Addition,28,agreeableness,I take time out for others.,3.0,3,-0.5,Addition,log
528,Stacked_L-0.5_Addition,29,agreeableness,I feel others' emotions.,3.0,3,-0.5,Addition,log
529,Stacked_L-0.5_Addition,30,agreeableness,I make people feel at ease.,3.0,3,-0.5,Addition,log
530,Stacked_L-0.5_Addition,31,conscientiousness,I am always prepared.,3.0,3,-0.5,Addition,log
531,Stacked_L-0.5_Addition,32,conscientiousness,I leave my belongings around.,3.0,3,-0.5,Addition,log
532,Stacked_L-0.5_Addition,33,conscientiousness,I pay attention to details.,3.0,3,-0.5,Addition,log
533,Stacked_L-0.5_Addition,34,conscientiousness,I make a mess of things.,3.0,3,-0.5,Addition,log
534,Stacked_L-0.5_Addition,35,conscientiousness,I get chores done right away.,3.0,3,-0.5,Addition,log
535,Stacked_L-0.5_Addition,36,conscientiousness,I often forget to put things back in their proper place.,3.0,3,-0.5,Addition,log
536,Stacked_L-0.5_Addition,37,conscientiousness,I like order.,3.0,3,-0.5,Addition,log
537,Stacked_L-0.5_Addition,38,conscientiousness,I shirk my duties.,3.0,3,-0.5,Addition,log
538,Stacked_L-0.5_Addition,39,conscientiousness,I follow a schedule.,3.0,3,-0.5,Addition,log
539,Stacked_L-0.5_Addition,40,conscientiousness,I am exacting in my work.,3.0,3,-0.5,Addition,log
540,Stacked_L-0.5_Addition,41,openness,I have a rich vocabulary.,3.0,3,-0.5,Addition,log
541,Stacked_L-0.5_Addition,42,openness,I have difficulty understanding abstract ideas.,3.0,3,-0.5,Addition,log
542,Stacked_L-0.5_Addition,43,openness,I have a vivid imagination.,3.0,3,-0.5,Addition,log
543,Stacked_L-0.5_Addition,44,openness,I am not interested in abstract ideas.,3.0,3,-0.5,Addition,log
544,Stacked_L-0.5_Addition,45,openness,I have excellent ideas.,3.0,3,-0.5,Addition,log
545,Stacked_L-0.5_Addition,46,openness,I do not have a good imagination.,3.0,3,-0.5,Addition,log
546,Stacked_L-0.5_Addition,47,openness,I am quick to understand things.,3.0,3,-0.5,Addition,log
547,Stacked_L-0.5_Addition,48,openness,I use difficult words.,3.0,3,-0.5,Addition,log
548,Stacked_L-0.5_Addition,49,openness,I spend time reflecting on things.,3.0,3,-0.5,Addition,log
